team1,team2,outcome,sd
DEN,MAR,0.9541000000000001,1.8152945585287263
ARG,MAR,1.4099333333333335,1.980738408989245
ISL,MAR,-0.37586666666666646,2.0402141163648886
CRO,MAR,1.1420333333333337,1.7588322080051515
BRA,MAR,1.2326000000000001,1.9064801528330402
CRC,MAR,0.47056666666666663,1.7586418019399563
GER,MAR,1.3972,2.1134750589398097
KOR,MAR,0.8995,1.6725248664392751
BEL,MAR,1.0076999999999996,1.8543026025541878
ENG,MAR,1.5281333333333327,2.139000869694123
COL,MAR,0.7497666666666666,1.8180229874629377
JPN,MAR,0.549466666666667,1.5939238137457603
EGY,IRN,-0.8061333333333336,1.9171384636134714
ESP,IRN,1.0150333333333335,1.8847848223449732
FRA,IRN,0.7893666666666669,1.6152781533162381
AUS,IRN,-0.08706666666666668,1.6315701688143427
DEN,IRN,0.4922666666666665,1.8862996709039792
ARG,IRN,0.9197000000000004,1.8071662127630141
CRO,IRN,0.6426999999999998,1.8083035235453513
BRA,IRN,0.9823333333333337,1.5193336164796787
CRC,IRN,0.1526,1.829354982675208
GER,IRN,1.2244333333333335,2.3548119674695065
BEL,IRN,0.33849999999999997,1.8100622643438549
ENG,IRN,1.2714666666666667,2.4382067631756636
COL,IRN,0.11116666666666666,1.8691161745277085
EGY,FRA,-1.6112999999999997,1.8513782438206066
ESP,FRA,0.5038333333333334,1.6963903532091078
AUS,FRA,-1.1958333333333329,1.8086988508500061
DEN,FRA,-0.8619666666666667,1.358384249755721
ARG,FRA,0.5336333333333332,1.3217589724834322
CRO,FRA,-0.647166666666667,1.5814930679523371
BRA,FRA,0.16399999999999995,1.624992198052627
CRC,FRA,-1.2958333333333332,1.639678918270633
BEL,FRA,-0.2214000000000001,1.5177883994395163
ENG,FRA,0.26163333333333333,1.5772527473822693
COL,FRA,-0.8148,1.3950204345867907
ARG,AUS,0.8078666666666665,1.7801843241674664
KSA,PER,0.5353,1.814732571896999
EGY,PER,0.6137666666666663,2.068707089313537
ESP,PER,1.7457999999999998,2.138278160963623
MAR,PER,0.38793333333333324,1.7321758107686869
IRN,PER,1.1892666666666667,1.9911811011780698
FRA,PER,0.7795666666666663,1.5414436300777243
AUS,PER,0.7239333333333332,1.8839896870600337
DEN,PER,0.7929333333333334,1.6776263092238788
ARG,PER,1.2540333333333333,1.6614523841254372
ISL,PER,0.12939999999999993,1.8296681271080706
CRO,PER,0.8910999999999998,1.6517637688869211
NGA,PER,0.5715999999999997,1.7094880080334964
BRA,PER,1.3091666666666668,1.6669875693068494
CRC,PER,0.6323666666666665,1.865309190956514
GER,PER,2.3642666666666656,2.4268411155336342
MEX,PER,0.9049666666666664,1.7040047067858008
KOR,PER,0.9300666666666666,1.7173866925889292
BEL,PER,1.3991666666666664,2.17876711366877
PAN,PER,0.2995333333333334,1.757111644589493
ENG,PER,1.9535666666666667,2.271302592208972
COL,PER,0.8905333333333334,1.7296645387505059
JPN,PER,0.8870333333333331,1.9525959685704053
AUS,DEN,-0.6347999999999997,1.9949502225767177
ARG,DEN,0.5521666666666667,1.7199645265562573
CRO,DEN,0.2579333333333335,1.4097528078680734
BRA,DEN,0.6161,1.6776621967632377
CRC,DEN,-0.5382333333333335,1.8642546000374667
BEL,DEN,0.45153333333333345,1.4943502612119242
COL,DEN,0.14413333333333336,1.4651066671759836
EGY,ISL,0.30583333333333335,2.1355868804051568
ESP,ISL,1.4687999999999999,1.952454194451057
IRN,ISL,0.8941333333333337,2.022597242075581
FRA,ISL,1.0742666666666663,1.6561377566441777
AUS,ISL,0.39426666666666665,2.0263842005104507
DEN,ISL,0.8255999999999998,1.708084623047792
ARG,ISL,1.2087333333333332,1.7985719972035916
CRO,ISL,1.0393666666666665,1.7652099270675088
BRA,ISL,1.0613666666666661,1.8481842838203628
CRC,ISL,0.4304666666666668,1.9453716158280816
GER,ISL,1.868533333333333,2.138137247335529
BEL,ISL,1.253966666666666,2.023974635046915
ENG,ISL,1.6976333333333335,1.9610472628620663
COL,ISL,0.7230000000000002,1.8005194517549237
AUS,CRO,-1.1109666666666664,2.005812434273808
ARG,CRO,0.3151333333333333,1.5066274889828926
BRA,CRO,0.14113333333333328,1.578815318189951
CRC,CRO,-1.1355999999999997,1.8039913366806868
